data gatherer,Genus,Species,Family,Realm,Kingdom,Phylum,Class,Order,"maximum body size (SVL, HBL, cm)",Source for maximum body size,notes on body size (e.g. type of metric),Trophic position,Source/logic for trophic position,migratory?,source/logic for migration info,dispersal distance category,logic/source for dispersal distance,dispersal type (walking may need to be reworded to something that encaptures slithering),logic/source for dispersal type,cold season dormancy?,source/logic for cold season dormancy,notes for cold season dormancy,hot season dormancy?,source/logic for hot season dormancy,notes for hot season dormancy,highland specialist,source/logic for highland specialist,Pelagic habitat (for marine species),source/logic for pelagic habitat,notes,origGenus,origSpecies,Terrestriality (available for mammals only; see panTHERIA metadata),pantheria05Genus,pantheria05Species,pantheria93Genus,pantheria93Species,allPantheriaSynonyms05,pantheriaReferences,binaryName,TRY species number (for plants),genus_species,limit_type
Susana,Halozetes,belgicae,Ameronothridae,Intertidal,Animalia,Arthropoda,Arachnida,Acarina,0.07,Cannon and Schenker (1985) Brit Antarct Surv Bull 67: 1-5,Body size is mean length,herbivore,"Deere and Chown (2006) The American Naturalist 168: 630-644; Hawes et al. (2007). J. Exp. Biol. 210.; Feeds on lichens and/or algea.
593-601.",Non-migratory,NA,0-1,Stary and Block (1998) Journal of Natural History 32: 861-894; Oribatid mites have low dispersal ability generally,walking,"** for the more tricky ones (i.e. more than one dispersal type), refs are given",NA,NA,,NA,NA,,N,Mercer et al (2000) Polar Biology 23: 775-784,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Halozetes_belgicae,"max, min"
Jenn,Hemigrapsus,nudus,Varunidae,Intertidal,Animalia,Arthropoda,Malacostraca,Decapoda,0.1342,Oliver and Schmelter (2018),mean carapace width,omnivore,Yamada and Boulding (1998) Journal of Experimental Marine Biology and Ecology 220(2): 191-211,Non-migratory,NA,0-1,"Wan (1990) ""Population distribution and some aspects of the reproductive biology of two species of shore crab Hemigrapsus nudus and Hemigrapsus oregonensis at Bamfield, Vancouver Island, British Columbia, Canada""",pelagic development and crawling adults,"crab with planktonic development - Low, C.J. 1970. ""Factors affecting the distribution and abundance of two species of beach crab, Hemigrapsus oregonensis and Hemigrapsus nudus"" MSc Thesis",NA,NA,,NA,NA,,N,NA,benthic,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hemigrapsus_nudus,"max, min"
Jenn,Pachygrapsus,marmoratus,Grapsidae,Intertidal,Animalia,Arthropoda,Malacostraca,Decapoda,2.9,Mehmet et al. (2014) Journal of the Marine Biological Association of the United Kingdom 94(7): 1441-1449,mean carapace width,omnivore,"Cannicci et al. (2002) Estuarine, Coastal and Shelf Science 54: 983–1001",Non-migratory,NA,10-100,Pires et al. (2020) Progress in Oceanography 102331,pelagic development and crawling adults,crab with planktonic development - Pires et al. (2020) Progress in Oceanography 102331,NA,NA,,NA,NA,,N,NA,benthic,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pachygrapsus_marmoratus,max
Jenn,Petrolisthes,gracilis,Porcellanidae,Intertidal,Animalia,Arthropoda,Malacostraca,Decapoda,NA,NA,NA,omnivore,filter feeding - Gabaldon (1979) Crustaceana 36(1): 110-112,Non-migratory,NA,1-10,Hameed et al. (2016) Proceedings of the Royal Society B: Biological Sciences 283(1833): 20160370; species with same genus dispersed 6.9km average,pelagic development and crawling adults,crab with planktonic development - Vela and González-Gordillo (2016) Zookeys (564):47-70,NA,NA,,NA,NA,,N,NA,benthic,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Petrolisthes_gracilis,"max, min"
Jenn,Petrolisthes,hirtipes,Porcellanidae,Intertidal,Animalia,Arthropoda,Malacostraca,Decapoda,NA,NA,NA,omnivore,filter feeding - Gabaldon (1979) Crustaceana 36(1): 110-112,Non-migratory,NA,1-10,Hameed et al. (2016) Proceedings of the Royal Society B: Biological Sciences 283(1833): 20160370; species with same genus dispersed 6.9km average,pelagic development and crawling adults,crab with planktonic development - Vela and González-Gordillo (2016) Zookeys (564):47-70,NA,NA,,NA,NA,,N,NA,demersal,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Petrolisthes_hirtipes,"max, min"
Jenn,Gobius,cobitis,Gobiidae,Intertidal,Animalia,Chordata,Actinopterygii,Perciformes,14.1,fishbase,TL male/unsexed,omnivore,fishbase,Non-migratory,fishbase,10-100,Tillin and Riley (2017) Marine Life Information Network: Biology and Sensitivity Key Information Reviews [on-line],pelagic development and swimming adults,Gil et al. (1997) Journal of Natural History 31(5):799-804; planktonic larvae,no,unheard of for fish,,no,unheard of for fish,,N,NA,demersal,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Gobius_cobitis,max
Jenn,Gobius,niger,Gobiidae,Intertidal,Animalia,Chordata,Actinopterygii,Perciformes,18,fishbase,TL male/unsexed,carnivore,fishbase,Non-migratory,Bouchereau and Guelorget (1997) Oceanologica Acta 21(3): 503-517,10-100,Corell et al. (2012) Marine Ecology Progress Series 467: 29-46,pelagic development and swimming adults,Giovannotti et al. (2009) Marine biology 165(3): 239-252; planktonic larvae,no,unheard of for fish,,no,unheard of for fish,,N,NA,demersal,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Gobius_niger,max
Sally,Periophthalmus,kalolo,Gobiidae,Intertidal,Animalia,Chordata,Actinopterygii,Perciformes,14.1,fishbase,TL male/unsexed,carnivore,fishbase,Non-migratory,fishbase,10-100,based on species with similar planktonic larval duration,pelagic development and crawling adults,Polgar et al. (2017) Journal of Fish Biology 9095): 1926-1943; planktonic larvae in genus,no,unheard of for fish,,N,unheard of for fish,,N,NA,reef-associated,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Periophthalmus_kalolo,"max, min"
Jenn,Patiriella,brevispina,Asterinidae,Intertidal,Animalia,Echinodermata,Asteroidae,Valvatida,5.2,Dartnall (1969) Papers and Proceedings of the Royal Society of Tasmania 104: 73-77,"maximum length, indeterminate growth",omnivore,filter feeding,Non-migratory,NA,1-10,guessed,pelagic development and crawling adults,"Bryne and Cerra (2001) Development, growth & differentiation 42(1): 79-86; lecithotrophic planktonic larvae",NA,NA,,NA,NA,,N,NA,benthic,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Patiriella_brevispina,max
Jenn,Mytilus,edulis,Mytilidae,Intertidal,Animalia,Mollusca,Bivalvia,Mytiloida,4,Kautsky (1982) Marine Biology 68: 117–133 ,"maximum shell length, indeterminate growth",omnivore,filter feeding bivalve,Non-migratory,sessile,100+,Coolen et al. (2020) Molecular Ecology 29(4): 686-703,pelagic development and sessile adults,Coolen et al. (2020) Molecular Ecology 29(4): 686-703,no,unheard of for marine bivalves,,no,unheard of for marine bivalves,,N,NA,benthic,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mytilus_edulis,"max, min"
Jenn,Barbatia,pistachia,Arcidae,Intertidal,Animalia,Mollusca,Bivalvia,Pteriomorpha,4.482,Compton et al. (2008) Journal of Experimental Marine Biology and Ecology 361(2): 104-110 ,mean shell length,omnivore,filter feeding bivalve,Non-migratory,sessile,100+,guessed - planktonic larval stage in genus thought to be ~1 month (Zeinalinpour et al. (2014) Tropical Zoology 37(3): 73-87),pelagic development and sessile adults,Zeinalinpour et al. (2014) Tropical Zoology 37(3): 73-87; based on species in same genus,no,unheard of for marine bivalves,,no,unheard of for marine bivalves,,N,NA,benthic,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Barbatia_pistachia,"max, min"
Jenn,Anodontia,bullula,Lucinidae,Intertidal,Animalia,Mollusca,Bivalvia,Veneroida,2.5,Meyer (2008) The Raffles Bulletin of Zoology 18: 41-45,NA,omnivore,filter feeding bivalve,Non-migratory,sessile,100+,guessed,pelagic development and sessile adults,Labarbera (1974) Journal of Paleontology 48(2): 256-277; planktonic larvae based on species in the same genus,no,unheard of for marine bivalves,,no,unheard of for marine bivalves,,N,NA,benthic,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Anodontia_bullula,"max, min"
Jenn,Cerastoderma,edule,Cardiidae,Intertidal,Animalia,Mollusca,Bivalvia,Veneroida,1.82,Lehane and Davenport (2002) Journal of the Marine Biological Association of the United Kingdom 82(4): 615-619,mean shell length,omnivore,filter feeding bivalve,Non-migratory,sessile,100+,guessed - Malham et al. (2012)  Journal of the Marine Biological Association of the United Kingdom 92: 1563–1584; planktonic duration 3-5 weeks,pelagic development and sessile adults,Shelagh et al. (2012) Journal of the Marine Biological Association of the United Kingdom 92(7):1563-1577,no,unheard of for marine bivalves,,no,unheard of for marine bivalves,,N,NA,benthic,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cerastoderma_edule,"max, min"
Jenn,Divaricella,irpex,Lucinidae,Intertidal,Animalia,Mollusca,Bivalvia,Veneroida,1.388,Compton et al. (2008) Journal of Experimental Marine Biology and Ecology 361(2): 104-110,mean shell length,omnivore,filter feeding bivalve,Non-migratory,sessile,NA,NA,NA,NA,no,unheard of for marine bivalves,,no,unheard of for marine bivalves,,N,NA,benthic,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Divaricella_irpex,"max, min"
Jenn,Macoma,balthica,Tellinidae,Intertidal,Animalia,Mollusca,Bivalvia,Veneroida,2.5,Gilbert (1973) The Biological Bulletin 145(1): 119-126,NA,omnivore,filter feeding bivalve,Non-migratory,sessile,10-100,Beukema and de Vlas (1989) Marine Ecology Progress Series 52: 193-200,pelagic development and sessile adults,Beukema and de Vlas (1989) Marine Ecology Progress Series 52: 193-200,no,unheard of for marine bivalves,,no,unheard of for marine bivalves,,N,NA,benthic,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Macoma_balthica,"max, min"
Jenn,Mya,arenaria,Myidae,Intertidal,Animalia,Mollusca,Bivalvia,Veneroida,8,Gerasimova et al. (2016) Marine Research 70(1): 6 ,NA,omnivore,filter feeding bivalve,Non-migratory,sessile,10-100,Shanks (2009) The biological bulletin 216(3): 373-385,pelagic development and sessile adults,Brousseau (1978). Fish.Bull. 76(1): 155-166; planktonic larvae,no,unheard of for marine bivalves,,no,unheard of for marine bivalves,,N,NA,benthic,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mya_arenaria,max
Jenn,Spisula,subtruncata,Mactridae,Intertidal,Animalia,Mollusca,Bivalvia,Veneroida,NA,NA,NA,omnivore,filter feeding bivalve,Non-migratory,sessile,100+,guessed - Cardoso et al. (2007) suggests a larval settlement time of 1 month,pelagic development and sessile adults,Cardoso et al. (2007) Journal of Sea Research 57(4): 316-324; data suggest a larval settlement time of 1 month,no,unheard of for marine bivalves,,no,unheard of for marine bivalves,,N,NA,benthic,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Spisula_subtruncata,max
Jenn,Tellina,tenuis,Tellinidae,Intertidal,Animalia,Mollusca,Bivalvia,Veneroida,2.6,"Dekker & Beukema (1999) Journal of Sea Research, 42(3): 207-220",NA,omnivore,filter feeding bivalve,Non-migratory,sessile,100+,guessed,pelagic development and sessile adults,Dekker and Beukema (1999) Journal of Sea Research 42(3); 207-220; planktotrophic pelagic larvae,no,unheard of for marine bivalves,,no,unheard of for marine bivalves,,N,NA,benthic,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tellina_tenuis,max
Jenn,Nacella,concinna,Patellidae,Intertidal,Animalia,Mollusca,Gastropoda,Archaeogastropoda,6,sealifebase,NA,omnivore,"Kim (2001) ""Seasonality of marine algae and grazers of an Antarctic rocky intertidal, with emphasis On the role of the limpet Nacella concinna Strebel (Gastropoda: Patellidae)""",Non-migratory,NA,100+,guessed,pelagic development and crawling adults,sealifebase; planktonic trocophore larvae,no,unheard of for marine gastropods,,no,unheard of for marine gastropods,,N,NA,benthic,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Nacella_concinna,"max, min"
Jenn,Nucella,lapillus,Muricidae,Intertidal,Animalia,Mollusca,Gastropoda,Archaeogastropoda,4.2,sealifebase,NA,carnivore,Vasileios and Andrews (2000) Malacologia 42(1-2): 103-112,Non-migratory,NA,10-100,Colson and Hughes (2004) Molecular Ecology 13(8): 2223-2233,non-pelagic development and crawling adults,Colson and Hughes (2004) Molecular Ecology 13(8): 2223-2233,no,unheard of for marine gastropods,,no,unheard of for marine gastropods,,N,NA,benthic,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Nucella_lapillus,"max, min"
Jenn,Littorina,littorea,Littorinidae,Intertidal,Animalia,Mollusca,Gastropoda,Neotaenioglossa,4.2,sealifebase,NA,herbivore,Imrie et al. (1989) Journal of Molluscan Studies 55(2): 217–225,Non-migratory,NA,10-100,Shanks et al. (2003) Ecological Applications 13(1): 159–169,pelagic development and crawling adults,Johannesson (1988) Marine Biology 99: 507-513,no,unheard of for marine gastropods,,no,unheard of for marine gastropods,,N,NA,benthic,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Littorina_littorea,"max, min"
Jenn,Littorina,obtusata,Littorinidae,Intertidal,Animalia,Mollusca,Gastropoda,Neotaenioglossa,1.3,sealifebase,NA,herbivore,Coleman et al. (2007) Oecologia 151(3): 454-463,Non-migratory,NA,10-100,Ingolfsson (1995) Marine Biology 122: 13-21; dispersal on seaweed,non-pelagic development and crawling adults,Mileikovsky (1975) Marine Biology 30: 129-135; direct development,no,unheard of for marine gastropods,,no,unheard of for marine gastropods,,N,NA,benthic,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Littorina_obtusata,"max, min"
Jenn,Littorina,saxatilis,Littorinidae,Intertidal,Animalia,Mollusca,Gastropoda,Neotaenioglossa,1.9,sealifebase,NA,herbivore,Shumway et al. (1993) 106(2): 391-395,Non-migratory,NA,10-100,Ingolfsson (1995) Marine Biology 122: 13-21; dispersal on seaweed,non-pelagic development and crawling adults,Mileikovsky (1975) Marine Biology 30: 129-135;; viviparity,no,unheard of for marine gastropods,,no,unheard of for marine gastropods,,N,NA,benthic,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Littorina_saxatilis,"max, min"
Jenn,Ischnochiton,australis,Ischnochitonidae,Intertidal,Animalia,Mollusca,Polyplaclophora,Chitonida,NA,NA,NA,herbivore,Sigwart and Schwabe (2017) Invertebrate Zoology 14(2): 205–216,Non-migratory,NA,1-10,guessed,pelagic development and crawling adults,Palmer (2011) Austral Ecology 37(1): 110-124; lecithotrophic larvae,NA,NA,,NA,NA,,N,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ischnochiton_australis,max
Jenn,Crangon,crangon,Crangonidae,Marine,Animalia,Arthropoda,Malacostraca,Decapoda,8.9,sealifebase,TL male/unsexed,carnivore,sealifebase,N,"do migrate offshore seasonally, but would likely not affect realized range (Boddeke (1976) Netherlands Journal of Sea Research 10(1):103-130)",10-100,Boddeke (1976) Netherlands Journal of Sea Research 10(1):103-130,NA,NA,NA,NA,,NA,NA,,N,marine,benthic,sealifebase,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Crangon_crangon,max
Jenn,Liocarcinus,marmoreus,Portunidae,Marine,Animalia,Arthropoda,Malacostraca,Decapoda,3,Robinson et al. (2010) Journal of the Marine Biological Association of the United Kingdom 90(1): 95-104,CW maximum,carnivore,EOL,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,N,marine,benthic,EOL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Liocarcinus_marmoreus,max
Jenn,Metacarcinus,magister,Cancridae,Marine,Animalia,Arthropoda,Malacostraca,Decapoda,22.5,sealifebase,CW male/unsexed,omnivore,Yamada et al. (2010) Journal of Shellfish Research 29(2):471-477,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,N,marine,benthic,EOL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Metacarcinus_magister,max
Jenn,Liothyrella,uva,Terebratulidae,Marine,Animalia,Brachiopoda,Articulata,Terebratulida,5,Peck and Holmes (1989) Journal of Experimental Marine Biology and Ecology 133(1–2):141-150,maximum shell length,omnivore,deposit feeder,N,NA,NA,sealifebase - eggs develop into free-swimming larvae ,NA,NA,NA,NA,,NA,NA,,N,marine,benthic,sealifebase,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Liothyrella_uva,max
Jenn,Liothyrella,neozelanica,Terebratulidae,Marine,Animalia,Brachiopoda,Rhynchonellata,Terebratulida,5,Baird et al. (2013) Biological Bulletin 25(3):125-36,,omnivore,deposit feeder,N,NA,NA,sealifebase - eggs develop into free-swimming larvae ,NA,NA,NA,NA,,NA,NA,,N,marine,benthic,sealifebase,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Liothyrella_neozelanica,max
Sally,Menidia,menidia,Atherinopsidae,Marine,Animalia,Chordata,Actinopterygii,Atheriniformes,15,fishbase,,carnivore,fishbase,Y,oceanodromous,10-100km,migrates,swimming,NA,N,unheard of for fish,,N,unheard of for fish,,N,marine,pelagic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Menidia_menidia,"max, min"
Sally,Clupea,harengus,Clupeidae,Marine,Animalia,Chordata,Actinopterygii,Clupeiformes,45,fishbase,,carnivore,optional zooplanktivorous filter-feeder (fishbase),Y,oceanodromous,10-100km,NA,swimming,NA,N,unheard of for fish,,N,unheard of for fish,,N,marine,benthopelagic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Clupea_harengus,max
Sally,Engraulis,japonicus,Engraulidae,Marine,Animalia,Chordata,Actinopterygii,Clupeiformes,18,fishbase,,omnivore,fishbase,Y,oceanodromous,10-100km,NA,swimming,NA,N,unheard of for fish,,N,unheard of for fish,,N,marine,pelagic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Engraulis_japonicus,"max, min"
Sally,Fundulus,parvipinnis,Fundulidae,Marine,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,10.8,fishbase,,omnivore,Hayman et al (2020) Journal of Experimental Marine Biology and Ecology 524: 151319,N,NA,NA,NA,swimming,NA,N,unheard of for fish,,N,unheard of for fish,,N,marine,benthopelagic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fundulus_parvipinnis,"max, min"
Sally,Boreogadus,saida,Gadidae,Marine,Animalia,Chordata,Actinopterygii,Gadiformes,40,fishbase,,carnivore,fishbase,Y,oceanodromous,NA,NA,swimming,NA,N,unheard of for fish,,N,unheard of for fish,,N,marine,demersal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Boreogadus_saida,min
Sally,Dascyllus,aruanus,Pomacentridae,Marine,Animalia,Chordata,Actinopterygii,Perciformes,10,fishbase,,omnivore,fishbase,N,NA,0-1km,reef associated,swimming,NA,N,unheard of for fish,,N,unheard of for fish,,N,marine,reef-associated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dascyllus_aruanus,"max, min"
Jenn,Diplodus,bellottii,Sparidae,Marine,Animalia,Chordata,Actinopterygii,Perciformes,30,fishbase,,carnivore,fishbase,NA,NA,NA,NA,swimming,NA,no,unheard of for fish,,no,unheard of for fish,,N,marine,benthopelagic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Diplodus_bellottii,max
Sally,Halichoeres,dispilus,Labridae,Marine,Animalia,Chordata,Actinopterygii,Perciformes,25,fishbase,,carnivore,fishbase,N,NA,0-1km,reef associated,swimming,NA,N,unheard of for fish,,N,unheard of for fish,,N,marine,reef-associated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Halichoeres_dispilus,"max, min"
Jenn,Lipophrys,trigloides,Blenniidae,Marine,Animalia,Chordata,Actinopterygii,Perciformes,13,fishbase,,omnivore,fishbase,no,Very inactive,NA,NA,swimming,NA,no,unheard of for fish,,no,unheard of for fish,,N,marine,demersal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lipophrys_trigloides,max
Sally,Malacoctenus,zonifer,Labrisomidae,Marine,Animalia,Chordata,Actinopterygii,Perciformes,8,fishbase,,carnivore,fishbase,N,NA,NA,NA,swimming,NA,N,unheard of for fish,,N,unheard of for fish,,N,marine,demersal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Malacoctenus_zonifer,"max, min"
Sally,Pachycara,brachycephalum,Zoarcidae,Marine,Animalia,Chordata,Actinopterygii,Perciformes,35,fishbase,,carnivore,krill and amphipods are main prey - Brodte et al. (2006) Deep Sea Researc Part II: Topical Studies in Oceanograph 53(8-10): 1131-1140,N,NA,NA,NA,swimming,NA,N,unheard of for fish,,N,unheard of for fish,,N,marine,bathydemersal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pachycara_brachycephalum,max
Jenn,Parablennius,marmoreus,Blenniidae,Marine,Animalia,Chordata,Actinopterygii,Perciformes,8.5,fishbase,,omnivore,fishbase,no,NA,NA,NA,swimming,NA,no,unheard of for fish,,no,unheard of for fish,,N,marine,coral associated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Parablennius_marmoreus,max
Sally,Plagiotremus,azaleus,Blenniidae,Marine,Animalia,Chordata,Actinopterygii,Perciformes,10,fishbase,,carnivore,fishbase,N,NA,NA,NA,swimming,NA,N,unheard of for fish,,N,unheard of for fish,,N,marine,reef-associated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Plagiotremus_azaleus,"max, min"
Sally,Tautogolabrus,adspersus,Labridae,Marine,Animalia,Chordata,Actinopterygii,Perciformes,38,fishbase,,carnivore,Green et al. (1984) Marine Biology 84:7-11,N,NA,NA,NA,swimming,NA,N,unheard of for fish,,N,unheard of for fish,,N,marine,reef-associated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tautogolabrus_adspersus,"max, min"
